timeslice,hours,season

I1,1,Atum/Spring
I2,2,Atum/Spring
I3,3,Atum/Spring
I4,4,Atum/Spring
I5,5,Atum/Spring
I6,6,Atum/Spring
I7,7,Atum/Spring
I8,8,Atum/Spring
I9,9,Atum/Spring
I10,10,Atum/Spring
I11,11,Atum/Spring
I12,12,Atum/Spring
I13,13,Atum/Spring
I14,14,Atum/Spring
I15,15,Atum/Spring
I16,16,Atum/Spring
I17,17,Atum/Spring
I18,18,Atum/Spring
I19,19,Atum/Spring
I20,20,Atum/Spring
I21,21,Atum/Spring
I22,22,Atum/Spring
I23,23,Atum/Spring
I24,24,Atum/Spring
S1,1,Summer
S2,2,Summer
S3,3,Summer
S4,4,Summer
S5,5,Summer
S6,6,Summer
S7,7,Summer
S8,8,Summer
S9,9,Summer
S10,10,Summer
S11,11,Summer
S12,12,Summer
S13,13,Summer
S14,14,Summer
S15,15,Summer
S16,16,Summer
S17,17,Summer
S18,18,Summer
S19,19,Summer
S20,20,Summer
S21,21,Summer
S22,22,Summer
S23,23,Summer
S24,24,Summer
W1,1,Winter
W2,2,Winter
W3,3,Winter
W4,4,Winter
W5,5,Winter
W6,6,Winter
W7,7,Winter
W8,8,Winter
W9,9,Winter
W10,10,Winter
W11,11,Winter
W12,12,Winter
W13,13,Winter
W14,14,Winter
W15,15,Winter
W16,16,Winter
W17,17,Winter
W18,18,Winter
W19,19,Winter
W20,20,Winter
W21,21,Winter
W22,22,Winter
W23,23,Winter
W24,24,Winter
